Cluster,Top,Columna,4grama,Frecuencia
3,1,essay0_tokens,-- -- -- --,1095
3,2,essay0_tokens,'m pretty laid back,96
3,3,essay0_tokens,looking meet new people,82
3,4,essay0_tokens,born raised san francisco,80
3,5,essay0_tokens,love meeting new people,70
3,6,essay0_tokens,work hard play hard,59
3,7,essay0_tokens,born raised bay area,57
3,8,essay0_tokens,san francisco bay area,56
3,9,essay0_tokens,blah blahblah blah blahblah,48
3,10,essay0_tokens,blahblah blah blahblah blah,48
3,1,essay1_tokens,-- -- -- --,247
3,2,essay1_tokens,make world better place,42
3,3,essay1_tokens,san francisco state university,30
3,4,essay1_tokens,work hard play hard,25
3,5,essay1_tokens,spending time friends family,22
3,6,essay1_tokens,taking one day time,19
3,7,essay1_tokens,life one day time,18
3,8,essay1_tokens,moved back bay area,18
3,9,essay1_tokens,currently working full time,17
3,10,essay1_tokens,san francisco bay area,17
3,1,essay2_tokens,-- -- -- --,92
3,2,essay2_tokens,'m also really good,91
3,3,essay2_tokens,good making people laugh,87
3,4,essay2_tokens,making people feel comfortable,70
3,5,essay2_tokens,'m also pretty good,60
3,6,essay2_tokens,like think 'm good,45
3,7,essay2_tokens,making people laugh making,43
3,8,essay2_tokens,'m good making people,39
3,9,essay2_tokens,`` really good '',37
3,10,essay2_tokens,making people laugh listening,36
3,1,essay3_tokens,-- -- -- --,156
3,2,essay3_tokens,first thing people notice,92
3,3,essay3_tokens,thing people usually notice,34
3,4,essay3_tokens,first thing people usually,32
3,5,essay3_tokens,first things people notice,21
3,6,essay3_tokens,people usually notice smile,16
3,7,essay3_tokens,people usually notice 'm,16
3,8,essay3_tokens,things people usually notice,16
3,9,essay3_tokens,n't know 've never,14
3,10,essay3_tokens,first things people usually,14
3,1,essay4_tokens,-- -- -- --,691
3,2,essay4_tokens,eternal sunshine spotless mind,456
3,3,essay4_tokens,'s always sunny philadelphia,264
3,4,essay4_tokens,fear loathing las vegas,226
3,5,essay4_tokens,hitchhiker 's guide galaxy,200
3,6,essay4_tokens,red hot chili peppers,197
3,7,essay4_tokens,daily show colbert report,175
3,8,essay4_tokens,one flew cuckoo 's,109
3,9,essay4_tokens,flew cuckoo 's nest,108
3,10,essay4_tokens,n't watch much tv,103
3,1,essay5_tokens,-- -- -- --,108
3,2,essay5_tokens,1. family 2. friends,99
3,3,essay5_tokens,family 2. friends 3.,94
3,4,essay5_tokens,things could never without,57
3,5,essay5_tokens,ca n't live without,41
3,6,essay5_tokens,1 family 2 friends,34
