cluster,columna,ngrama,frecuencia
0.0,essay0_tokens,500 words 500 words,97
0.0,essay0_tokens,words 500 words 500,96
0.0,essay0_tokens,work hard play hard,38
0.0,essay0_tokens,looking meet new people,37
0.0,essay0_tokens,born raised san francisco,35
0.0,essay0_tokens,born raised bay area,34
0.0,essay0_tokens,love meeting new people,32
0.0,essay0_tokens,recently moved san francisco,27
0.0,essay0_tokens,love trying new things,24
0.0,essay0_tokens,san francisco years ago,23
0.0,essay1_tokens,work hard play hard,20
0.0,essay1_tokens,make world better place,15
0.0,essay1_tokens,working hard playing hard,9
0.0,essay1_tokens,spending time friends family,7
0.0,essay1_tokens,http www youtube com,7
0.0,essay1_tokens,making world better place,7
0.0,essay1_tokens,spending time family friends,7
0.0,essay1_tokens,san francisco state university,7
0.0,essay1_tokens,recently moved san francisco,6
0.0,essay1_tokens,san francisco bay area,5
0.0,essay2_tokens,making people feel comfortable,37
0.0,essay2_tokens,good making people laugh,18
0.0,essay2_tokens,making people feel good,16
0.0,essay2_tokens,making people laugh making,15
0.0,essay2_tokens,making people laugh listening,12
0.0,essay2_tokens,making people laugh cooking,11
0.0,essay2_tokens,cooking making people laugh,11
0.0,essay2_tokens,http www youtube com,10
0.0,essay2_tokens,www youtube com watch,10
0.0,essay2_tokens,really good making people,10
0.0,essay3_tokens,thing people usually notice,14
0.0,essay3_tokens,people usually notice smile,7
0.0,essay3_tokens,people tell look like,6
0.0,essay3_tokens,people notice different things,5
0.0,essay3_tokens,people usually notice eyes,5
0.0,essay3_tokens,ve told smile eyes,4
0.0,essay3_tokens,smile sarcastic sense humor,4
0.0,essay3_tokens,thing people notice hair,4
0.0,essay3_tokens,things people usually notice,4
0.0,essay3_tokens,think people notice smile,3
0.0,essay4_tokens,eternal sunshine spotless mind,164
0.0,essay4_tokens,http www youtube com,106
0.0,essay4_tokens,www youtube com watch,106
0.0,essay4_tokens,red hot chili peppers,72
0.0,essay4_tokens,fear loathing las vegas,57
